 kvkey |             kvts              |                 kvname                 |             kvvalue              |   kvseq   | kvpvmi |        kvpvname        | kvro |  kvmotion  |           kvmd2cmd           | kvstn | kvdbrtype |  kvnotify   
  8357 | 2012-11-26 13:01:39.123341-06 | stns.2.appz                            | 1.980                            | 101126091 |        |                        | t    |            |                              |     2 |         0 | 
  6554 | 2011-07-20 12:42:07.581085-05 | stns.2.appz.canHome                    | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7273 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.canMove                    | true                             |   5493676 |        |                        | t    |            |                              |     2 |         3 | 
  6567 | 2011-07-20 12:42:07.581085-05 | stns.2.appz.canStop                    | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  6219 | 2012-06-20 11:37:30.920737-05 | stns.2.appz.currentPreset              | 0                                |  74706172 |        |                        | t    |            |                              |     2 |         1 | 
  7558 | 2012-06-20 11:37:30.920737-05 | stns.2.appz.inPosition                 | true                             |  74706172 |        |                        | t    |            |                              |     2 |         3 | 
  6258 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.largeStep                  | 0.02                             |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6323 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.maxPosition                | 82.1                             |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6264 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.minPosition                | -0.099                           |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6277 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.moveMode                   | translation                      |   4195155 |        |                        | t    |            |                              |     2 |         3 | 
  6289 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.name                       | Aperture                         |   4195155 |        |                        | t    |            |                              |     2 |         0 | 
  6350 | 2012-02-02 13:16:28.644983-06 | stns.2.appz.negLimitSet                | 0                                |  49695545 |        |                        | t    |            |                              |     2 |         6 | 
  6222 | 2012-11-26 13:01:39.123341-06 | stns.2.appz.position                   | 1.980                            | 101126091 |        |                        | t    |            | moveAbs appz                 |     2 |         6 | 
  6237 | 2012-02-02 13:16:28.644983-06 | stns.2.appz.posLimitSet                | 0                                |  49695545 |        |                        | t    |            |                              |     2 |         6 | 
